name,description
"Giao dịch mua bán tài sản", "Giao dịch mua và bán các tài sản như chứng khoán, bất động sản và vàng."
"Giao dịch chuyển tiền", "Chuyển tiền giữa các tài khoản hoặc các ngân hàng trong và ngoài nước."
"Giao dịch ngoại hối", "Giao dịch mua bán ngoại tệ trên thị trường quốc tế."
"Giao dịch chứng khoán", "Mua bán cổ phiếu, trái phiếu và các sản phẩm chứng khoán khác."
"Giao dịch tài chính", "Các hoạt động giao dịch liên quan đến các sản phẩm tài chính như hợp đồng kỳ hạn, quyền chọn."
"Giao dịch bất động sản", "Mua bán và cho thuê bất động sản."
"Giao dịch tài chính cá nhân", "Các dịch vụ tư vấn tài chính cho cá nhân về đầu tư và quản lý tài sản."
"Giao dịch thanh toán quốc tế", "Giao dịch thanh toán giữa các quốc gia thông qua ngân hàng và các dịch vụ thanh toán quốc tế."
"Giao dịch huy động vốn", "Hoạt động huy động vốn từ các nhà đầu tư cho các dự án hoặc công ty."
"Giao dịch vay và cho vay", "Các giao dịch vay và cho vay tiền giữa các cá nhân hoặc tổ chức."
"Giao dịch thanh toán hóa đơn", "Thanh toán các hóa đơn dịch vụ và sản phẩm qua các cổng thanh toán điện tử."
"Giao dịch bảo hiểm", "Mua và bán các hợp đồng bảo hiểm cho cá nhân và doanh nghiệp."
"Giao dịch mua bán hàng hóa", "Giao dịch mua và bán các sản phẩm hàng hóa từ nhà sản xuất đến người tiêu dùng."
"Giao dịch tín dụng", "Các giao dịch liên quan đến tín dụng như thẻ tín dụng, vay tín dụng và các dịch vụ tín dụng khác."
"Giao dịch ngân hàng điện tử", "Các giao dịch tài chính thực hiện qua các nền tảng ngân hàng điện tử."
"Giao dịch chuyển nhượng cổ phần", "Chuyển nhượng cổ phần của công ty giữa các nhà đầu tư."
"Giao dịch tiền ảo", "Mua bán và giao dịch các loại tiền ảo như Bitcoin, Ethereum."
"Giao dịch chứng khoán phái sinh", "Giao dịch các sản phẩm chứng khoán phái sinh như hợp đồng tương lai, quyền chọn."
"Giao dịch thanh toán thẻ", "Thanh toán mua sắm và dịch vụ qua thẻ tín dụng và thẻ ghi nợ."
"Giao dịch tài sản kỹ thuật số", "Mua bán và trao đổi các tài sản kỹ thuật số như NFT."
"Giao dịch hợp đồng tương lai", "Giao dịch các hợp đồng mua bán tài sản trong tương lai."
"Giao dịch tín dụng tiêu dùng", "Các giao dịch liên quan đến việc vay tín dụng tiêu dùng cho các cá nhân."
"Giao dịch qua ví điện tử", "Thực hiện giao dịch qua các ví điện tử như PayPal, Momo."
"Giao dịch tài sản cố định", "Giao dịch mua bán các tài sản cố định như máy móc, thiết bị."
"Giao dịch mua sắm trực tuyến", "Giao dịch mua bán sản phẩm qua các nền tảng thương mại điện tử."
"Giao dịch tái cấu trúc công ty", "Hoạt động giao dịch tái cấu trúc doanh nghiệp và thay đổi cơ cấu sở hữu."
"Giao dịch thanh lý tài sản", "Thanh lý tài sản doanh nghiệp hoặc cá nhân để thu hồi vốn."
"Giao dịch giao hàng", "Hoạt động liên quan đến giao nhận hàng hóa trong các giao dịch thương mại."
"Giao dịch dịch vụ chuyển phát", "Dịch vụ giao nhận và chuyển phát hàng hóa trong và ngoài nước."
"Giao dịch bảo vệ tài sản", "Giao dịch liên quan đến các sản phẩm bảo vệ tài sản như bảo hiểm tài sản."
"Giao dịch chi trả lương", "Giao dịch thanh toán lương cho nhân viên của công ty."
"Giao dịch ký quỹ", "Các giao dịch tài chính yêu cầu ký quỹ một phần giá trị của tài sản."
"Giao dịch chứng từ thanh toán", "Sử dụng các chứng từ thanh toán như hối phiếu, thư tín dụng để thực hiện giao dịch."
"Giao dịch hợp đồng mua bán", "Ký kết và thực hiện hợp đồng mua bán hàng hóa hoặc dịch vụ."
"Giao dịch chuyển nhượng quyền sử dụng đất", "Chuyển nhượng quyền sử dụng đất trong các giao dịch bất động sản."
"Giao dịch quản lý đầu tư", "Quản lý và điều hành các giao dịch đầu tư của các quỹ đầu tư."
"Giao dịch phát hành chứng khoán", "Phát hành chứng khoán mới ra thị trường trong các giao dịch đầu tư."
"Giao dịch sản phẩm bảo vệ sức khỏe", "Giao dịch các sản phẩm bảo vệ sức khỏe như thuốc và thực phẩm chức năng."
"Giao dịch thanh toán trực tiếp", "Thanh toán trực tiếp cho sản phẩm hoặc dịch vụ tại các điểm bán."
"Giao dịch thu hồi nợ", "Giao dịch liên quan đến thu hồi nợ từ các khoản vay và tín dụng."
"Giao dịch đầu tư mạo hiểm", "Đầu tư vào các công ty mới thành lập với mục tiêu tìm kiếm lợi nhuận cao."
"Giao dịch chuyển nhượng công nghệ", "Giao dịch chuyển nhượng quyền sở hữu hoặc quyền sử dụng công nghệ."
"Giao dịch dịch vụ thuê ngoài", "Cung cấp và nhận các dịch vụ thuê ngoài trong các lĩnh vực khác nhau."
"Giao dịch bảo trì", "Cung cấp dịch vụ bảo trì tài sản và thiết bị trong các giao dịch dài hạn."
"Giao dịch chứng khoán quốc tế", "Giao dịch mua bán chứng khoán ở các thị trường quốc tế."
"Giao dịch thừa kế tài sản", "Chuyển nhượng tài sản trong các giao dịch thừa kế."
"Giao dịch dịch vụ quảng cáo", "Giao dịch cung cấp các dịch vụ quảng cáo cho các doanh nghiệp."
"Giao dịch chuyển nhượng quyền sở hữu trí tuệ", "Chuyển nhượng quyền sở hữu trí tuệ trong các giao dịch."
"Giao dịch mua bán nguyên liệu", "Mua bán các nguyên liệu cần thiết cho sản xuất hoặc tiêu dùng."
"Giao dịch đầu tư bất động sản", "Đầu tư vào các dự án bất động sản với mục tiêu sinh lời."
